study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB6518	SAMEA2592380	ERX496655	ERR531452	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531452/ERR531452.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531452/seqs_Stool82.1260082.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531452
PRJEB6518	SAMEA2592381	ERX496656	ERR531453	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531453/ERR531453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531453/seqs_Stool323.1260163.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531453
PRJEB6518	SAMEA2592382	ERX496657	ERR531454	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531454/ERR531454.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531454/seqs_Saliva184.1259656.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531454
PRJEB6518	SAMEA2592383	ERX496658	ERR531455	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531455/ERR531455.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531455/seqs_Saliva84.1259965.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531455
PRJEB6518	SAMEA2592384	ERX496659	ERR531456	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531456/ERR531456.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531456/seqs_Saliva207.1260088.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531456
PRJEB6518	SAMEA2592385	ERX496660	ERR531457	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531457/ERR531457.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531457/seqs_Stool147.1260039.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531457
PRJEB6518	SAMEA2592386	ERX496661	ERR531458	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531458/ERR531458.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531458/seqs_Stool144.1260021.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531458
PRJEB6518	SAMEA2592387	ERX496662	ERR531459	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531459/ERR531459.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531459/seqs_Stool460.1260047.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531459
PRJEB6518	SAMEA2592388	ERX496663	ERR531460	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531460/ERR531460.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531460/seqs_Stool63.1259769.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531460
PRJEB6518	SAMEA2592389	ERX496664	ERR531461	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531461/ERR531461.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531461/seqs_Stool150.1259855.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531461
PRJEB6518	SAMEA2592390	ERX496665	ERR531462	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531462/ERR531462.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531462/seqs_Stool151.1259986.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531462
PRJEB6518	SAMEA2592391	ERX496666	ERR531463	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531463/ERR531463.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531463/seqs_Saliva64.1260324.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531463
PRJEB6518	SAMEA2592392	ERX496667	ERR531464	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531464/ERR531464.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531464/seqs_Stool476.1260323.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531464
PRJEB6518	SAMEA2592393	ERX496668	ERR531465	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531465/ERR531465.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531465/seqs_Stool344.1260230.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531465
PRJEB6518	SAMEA2592394	ERX496669	ERR531466	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531466/ERR531466.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531466/seqs_Saliva209.1259848.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531466
PRJEB6518	SAMEA2592395	ERX496670	ERR531467	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531467/ERR531467.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531467/seqs_Saliva144.1259686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531467
PRJEB6518	SAMEA2592396	ERX496671	ERR531468	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531468/ERR531468.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531468/seqs_Stool49.1259746.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531468
PRJEB6518	SAMEA2592397	ERX496672	ERR531469	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531469/ERR531469.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531469/seqs_Saliva134.1260043.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531469
PRJEB6518	SAMEA2592398	ERX496673	ERR531470	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531470/ERR531470.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531470/seqs_Saliva140.1260177.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531470
PRJEB6518	SAMEA2592399	ERX496674	ERR531471	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531471/ERR531471.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531471/seqs_Saliva118.1259975.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531471
PRJEB6518	SAMEA2592400	ERX496675	ERR531472	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531472/ERR531472.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531472/seqs_Stool279.1259859.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531472
PRJEB6518	SAMEA2592401	ERX496676	ERR531473	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531473/ERR531473.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531473/seqs_Stool205.1260083.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531473
PRJEB6518	SAMEA2592402	ERX496677	ERR531474	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531474/ERR531474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531474/seqs_Saliva52.1259932.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531474
PRJEB6518	SAMEA2592403	ERX496678	ERR531475	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531475/ERR531475.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531475/seqs_Saliva114.1259897.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531475
PRJEB6518	SAMEA2592404	ERX496679	ERR531476	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531476/ERR531476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531476/seqs_Saliva68.1260128.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531476
PRJEB6518	SAMEA2592405	ERX496680	ERR531477	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531477/ERR531477.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531477/seqs_Saliva38.1260305.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531477
PRJEB6518	SAMEA2592406	ERX496681	ERR531478	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531478/ERR531478.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531478/seqs_Stool189.1260208.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531478
PRJEB6518	SAMEA2592407	ERX496682	ERR531479	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531479/ERR531479.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531479/seqs_Stool512.1259695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531479
PRJEB6518	SAMEA2592408	ERX496683	ERR531480	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531480/ERR531480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531480/seqs_Stool465.1260276.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531480
PRJEB6518	SAMEA2592409	ERX496684	ERR531481	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531481/ERR531481.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531481/seqs_Stool80.1259896.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531481
PRJEB6518	SAMEA2592410	ERX496685	ERR531482	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531482/ERR531482.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531482/seqs_Saliva274.1260017.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531482
PRJEB6518	SAMEA2592411	ERX496686	ERR531483	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531483/ERR531483.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531483/seqs_Stool286.1259782.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531483
PRJEB6518	SAMEA2592412	ERX496687	ERR531484	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531484/ERR531484.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531484/seqs_Saliva72.1260068.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531484
PRJEB6518	SAMEA2592413	ERX496688	ERR531485	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531485/ERR531485.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531485/seqs_Saliva142.1260036.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531485
PRJEB6518	SAMEA2592414	ERX496689	ERR531486	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531486/ERR531486.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531486/seqs_Stool508.1259893.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531486
PRJEB6518	SAMEA2592415	ERX496690	ERR531487	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531487/ERR531487.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531487/seqs_Stool524.1260400.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531487
PRJEB6518	SAMEA2592416	ERX496691	ERR531488	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531488/ERR531488.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531488/seqs_Stool516.1260351.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531488
PRJEB6518	SAMEA2592417	ERX496692	ERR531489	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531489/ERR531489.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531489/seqs_Stool315.1259733.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531489
PRJEB6518	SAMEA2592418	ERX496693	ERR531490	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531490/ERR531490.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531490/seqs_Stool364.1260185.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531490
PRJEB6518	SAMEA2592419	ERX496694	ERR531491	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531491/ERR531491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531491/seqs_Stool87.1260106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531491
PRJEB6518	SAMEA2592420	ERX496695	ERR531492	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531492/ERR531492.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531492/seqs_Saliva42.1260405.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531492
PRJEB6518	SAMEA2592421	ERX496696	ERR531493	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531493/ERR531493.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531493/seqs_Stool272.1260415.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531493
PRJEB6518	SAMEA2592422	ERX496697	ERR531494	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531494/ERR531494.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531494/seqs_Stool124.1260211.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531494
PRJEB6518	SAMEA2592423	ERX496698	ERR531495	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531495/ERR531495.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531495/seqs_Stool393.1260162.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531495
PRJEB6518	SAMEA2592424	ERX496699	ERR531496	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531496/ERR531496.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531496/seqs_Saliva130.1260348.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531496
PRJEB6518	SAMEA2592425	ERX496700	ERR531497	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531497/ERR531497.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531497/seqs_Stool34.1260203.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531497
PRJEB6518	SAMEA2592426	ERX496701	ERR531498	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531498/ERR531498.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531498/seqs_Saliva26.1260132.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531498
PRJEB6518	SAMEA2592427	ERX496702	ERR531499	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531499/ERR531499.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531499/seqs_Saliva264.1259874.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531499
PRJEB6518	SAMEA2592428	ERX496703	ERR531500	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531500/ERR531500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531500/seqs_Stool318.1260147.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531500
PRJEB6518	SAMEA2592429	ERX496704	ERR531501	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531501/ERR531501.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531501/seqs_Saliva18.1259780.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531501
PRJEB6518	SAMEA2592430	ERX496705	ERR531502	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531502/ERR531502.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531502/seqs_Saliva15.1260081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531502
PRJEB6518	SAMEA2592431	ERX496706	ERR531503	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531503/ERR531503.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531503/seqs_Saliva162.1260392.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531503
PRJEB6518	SAMEA2592432	ERX496707	ERR531504	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531504/ERR531504.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531504/seqs_Stool30.1260121.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531504
PRJEB6518	SAMEA2592433	ERX496708	ERR531505	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531505/ERR531505.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531505/seqs_Stool435.1260085.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531505
PRJEB6518	SAMEA2592434	ERX496709	ERR531506	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531506/ERR531506.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531506/seqs_Stool221.1260317.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531506
PRJEB6518	SAMEA2592435	ERX496710	ERR531507	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531507/ERR531507.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531507/seqs_Stool11.1259845.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531507
PRJEB6518	SAMEA2592436	ERX496711	ERR531508	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531508/ERR531508.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531508/seqs_Stool358.1259850.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531508
PRJEB6518	SAMEA2592437	ERX496712	ERR531509	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531509/ERR531509.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531509/seqs_Saliva196.1260055.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531509
PRJEB6518	SAMEA2592438	ERX496713	ERR531510	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531510/ERR531510.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531510/seqs_Stool414.1260180.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531510
PRJEB6518	SAMEA2592439	ERX496714	ERR531511	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531511/ERR531511.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531511/seqs_Stool380.1260332.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531511
PRJEB6518	SAMEA2592440	ERX496715	ERR531512	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531512/ERR531512.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531512/seqs_Saliva228.1259684.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531512
PRJEB6518	SAMEA2592441	ERX496716	ERR531513	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531513/ERR531513.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531513/seqs_Stool54.1260122.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531513
PRJEB6518	SAMEA2592442	ERX496717	ERR531514	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531514/ERR531514.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531514/seqs_Saliva255.1260113.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531514
PRJEB6518	SAMEA2592443	ERX496718	ERR531515	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531515/ERR531515.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531515/seqs_Saliva227.1260314.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531515
PRJEB6518	SAMEA2592444	ERX496719	ERR531516	447426	human oral metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531516/ERR531516.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531516/seqs_Saliva30.1259924.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531516
PRJEB6518	SAMEA2592445	ERX496720	ERR531517	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531517/ERR531517.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531517/seqs_Stool456.1259648.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531517
PRJEB6518	SAMEA2592446	ERX496721	ERR531518	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR531/ERR531518/ERR531518.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR531/ERR531518/seqs_Stool517.1260396.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR531/ERR531518
