Run,Assay Type,AvgSpotLen,BioProject,BioSample,BioSampleModel,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,SRA Study,isol_growth_condt,strain,num_replicons,ref_biomaterial,host_subject_id,source_material_ID,Cultivar,Ecotype,isolate
SRR9205543,WGS,250,PRJNA544527,SAMN11846512,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976942,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_b7,PAIRED,RANDOM,GENOMIC,718,282,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883456,af_0058_0056_b7,SRP200548,missing,BIOML-A12,missing,missing,,,,,
SRR9205544,WGS,251,PRJNA544527,SAMN11846513,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976941,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_b8,PAIRED,RANDOM,GENOMIC,873,342,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883454,af_0058_0056_b8,SRP200548,missing,BIOML-A13,missing,missing,,,,,
SRR9205545,WGS,270,PRJNA544527,SAMN11846359,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976940,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_d10,PAIRED,RANDOM,GENOMIC,381,166,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883455,am_0014_0091_d10,SRP200548,missing,BIOML-A215,missing,missing,,,,,
SRR9205546,WGS,260,PRJNA544527,SAMN11846358,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976939,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_c9,PAIRED,RANDOM,GENOMIC,872,364,Alistipes onderdonkii,ILLUMINA,2019-07-31T00:00:00Z,SRS4883453,am_0014_0091_c9,SRP200548,missing,BIOML-A214,missing,missing,,,,,
SRR9205547,WGS,256,PRJNA544527,SAMN11846516,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976938,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_d9,PAIRED,RANDOM,GENOMIC,181,76,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883452,af_0058_0056_d9,SRP200548,missing,BIOML-A16,missing,missing,,,,,
SRR9205548,WGS,234,PRJNA544527,SAMN11846517,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976937,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_e10,PAIRED,RANDOM,GENOMIC,165,65,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883451,af_0058_0056_e10,SRP200548,missing,BIOML-A17,missing,missing,,,,,
SRR9205549,WGS,257,PRJNA544527,SAMN11846514,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976936,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_b9,PAIRED,RANDOM,GENOMIC,592,234,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883449,af_0058_0056_b9,SRP200548,missing,BIOML-A14,missing,missing,,,,,
SRR9205550,WGS,259,PRJNA544527,SAMN11846515,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976935,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0056_d8,PAIRED,RANDOM,GENOMIC,276,112,Bacteroides fragilis,ILLUMINA,2019-07-31T00:00:00Z,SRS4883450,af_0058_0056_d8,SRP200548,missing,BIOML-A15,missing,missing,,,,,
SRR9205551,WGS,273,PRJNA544527,SAMN11846129,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,04-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976934,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0065_a7,PAIRED,RANDOM,GENOMIC,153,65,Akkermansia sp. BIOML-A55,ILLUMINA,2019-07-31T00:00:00Z,SRS4883448,aa_0143_0065_a7,SRP200548,missing,BIOML-A55,missing,missing,,,,,
SRR9205552,WGS,270,PRJNA544527,SAMN11846128,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,04-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976933,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0065_a5,PAIRED,RANDOM,GENOMIC,508,203,Akkermansia sp. BIOML-A54,ILLUMINA,2019-07-31T00:00:00Z,SRS4883444,aa_0143_0065_a5,SRP200548,missing,BIOML-A54,missing,missing,,,,,
SRR9205553,WGS,271,PRJNA544527,SAMN11846718,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976932,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0071_a8,PAIRED,RANDOM,GENOMIC,283,124,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883447,am_0171_0071_a8,SRP200548,missing,BIOML-A101,missing,missing,,,,,
SRR9205554,WGS,269,PRJNA544527,SAMN11846719,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976931,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0071_b11,PAIRED,RANDOM,GENOMIC,2238,928,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883446,am_0171_0071_b11,SRP200548,missing,BIOML-A102,missing,missing,,,,,
SRR9205555,WGS,285,PRJNA544527,SAMN11846710,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976930,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_a9,PAIRED,RANDOM,GENOMIC,257,106,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883445,am_0171_0066_a9,SRP200548,missing,BIOML-A93,missing,missing,,,,,
SRR9205556,WGS,277,PRJNA544527,SAMN11846711,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976929,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_b9,PAIRED,RANDOM,GENOMIC,1159,453,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883443,am_0171_0066_b9,SRP200548,missing,BIOML-A94,missing,missing,,,,,
SRR9205557,WGS,277,PRJNA544527,SAMN11846712,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976928,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_c11,PAIRED,RANDOM,GENOMIC,816,315,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883442,am_0171_0066_c11,SRP200548,missing,BIOML-A95,missing,missing,,,,,
SRR9205558,WGS,273,PRJNA544527,SAMN11846713,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976927,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_c12,PAIRED,RANDOM,GENOMIC,902,349,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883441,am_0171_0066_c12,SRP200548,missing,BIOML-A96,missing,missing,,,,,
SRR9205559,WGS,279,PRJNA544527,SAMN11846714,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976926,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_c9,PAIRED,RANDOM,GENOMIC,600,232,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883440,am_0171_0066_c9,SRP200548,missing,BIOML-A97,missing,missing,,,,,
SRR9205560,WGS,281,PRJNA544527,SAMN11846715,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976925,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_e9,PAIRED,RANDOM,GENOMIC,934,362,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883439,am_0171_0066_e9,SRP200548,missing,BIOML-A98,missing,missing,,,,,
SRR9205561,WGS,284,PRJNA544527,SAMN11846716,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976924,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_g12,PAIRED,RANDOM,GENOMIC,435,176,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883438,am_0171_0066_g12,SRP200548,missing,BIOML-A99,missing,missing,,,,,
SRR9205562,WGS,283,PRJNA544527,SAMN11846717,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,11-Jan-2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976923,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0066_g8,PAIRED,RANDOM,GENOMIC,358,144,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883437,am_0171_0066_g8,SRP200548,missing,BIOML-A100,missing,missing,,,,,
SRR9205563,WGS,275,PRJNA544527,SAMN11847000,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976922,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0083_d2,PAIRED,RANDOM,GENOMIC,779,313,Bacteroides thetaiotaomicron,ILLUMINA,2019-07-31T00:00:00Z,SRS4883436,af_0058_0083_d2,SRP200548,missing,BIOML-A137,missing,missing,,,,,
SRR9205564,WGS,279,PRJNA544527,SAMN11846678,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,18-Dec-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976921,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0014_0091_h5,PAIRED,RANDOM,GENOMIC,188,80,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883435,am_0014_0091_h5,SRP200548,missing,BIOML-A61,missing,missing,,,,,
SRR9205565,WGS,274,PRJNA544527,SAMN11847001,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976920,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0083_d3,PAIRED,RANDOM,GENOMIC,836,336,Bacteroides thetaiotaomicron,ILLUMINA,2019-07-31T00:00:00Z,SRS4883434,af_0058_0083_d3,SRP200548,missing,BIOML-A138,missing,missing,,,,,
SRR9205566,WGS,282,PRJNA544527,SAMN11846679,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,07-Jan-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976919,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0025_0083_e9,PAIRED,RANDOM,GENOMIC,1122,452,Bacteroides ovatus,ILLUMINA,2019-07-31T00:00:00Z,SRS4883433,am_0025_0083_e9,SRP200548,missing,BIOML-A62,missing,missing,,,,,
SRR9205567,WGS,270,PRJNA544527,SAMN11846964,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,01-Apr-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976918,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,af_0058_0077_a5,PAIRED,RANDOM,GENOMIC,133,59,Bacteroides thetaiotaomicron,ILLUMINA,2019-07-31T00:00:00Z,SRS4883432,af_0058_0077_a5,SRP200548,missing,BIOML-A101,missing,missing,,,,,
SRR9205568,WGS,275,PRJNA544527,SAMN11846426,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,04-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976917,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0055_h1,PAIRED,RANDOM,GENOMIC,369,149,Bacteroides caccae,ILLUMINA,2019-07-31T00:00:00Z,SRS4883431,aa_0143_0055_h1,SRP200548,missing,BIOML-A11,missing,missing,,,,,
SRR9205569,WGS,269,PRJNA544527,SAMN11846427,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,04-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976916,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0055_h2,PAIRED,RANDOM,GENOMIC,1059,422,Bacteroides caccae,ILLUMINA,2019-07-31T00:00:00Z,SRS4883430,aa_0143_0055_h2,SRP200548,missing,BIOML-A12,missing,missing,,,,,
SRR9205570,WGS,269,PRJNA544527,SAMN11846424,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,04-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5976915,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0055_g2,PAIRED,RANDOM,GENOMIC,434,174,Bacteroides caccae,ILLUMINA,2019-07-31T00:00:00Z,SRS4883429,aa_0143_0055_g2,SRP200548,missing,BIOML-A9,missing,missing,,,,,
